Train loss = 55.99, Val loss = 54.444 
Train loss = 43.305, Val loss = 47.369 
Train loss = 38.986, Val loss = 42.988 
Train loss = 33.221, Val loss = 38.745 
Train loss = 30.967, Val loss = 36.848 
Train loss = 30.194, Val loss = 38.547 
Train loss = 29.227, Val loss = 37.85 
Train loss = 28.533, Val loss = 36.886 
Train loss = 27.314, Val loss = 36.365 
Train loss = 25.801, Val loss = 36.038 
Train loss = 24.509, Val loss = 40.074 
Train loss = 24.402, Val loss = 37.35 
Train loss = 22.712, Val loss = 35.61 
Train loss = 22.232, Val loss = 36.956 
Train loss = 21.282, Val loss = 39.699 
Train loss = 21.559, Val loss = 32.301 
Train loss = 21.674, Val loss = 33.538 
Train loss = 18.522, Val loss = 37.114 
Train loss = 17.423, Val loss = 34.495 
Train loss = 16.621, Val loss = 34.702 
Train loss = 16.755, Val loss = 33.776 
Train loss = 16.145, Val loss = 36.484 
Train loss = 15.565, Val loss = 31.677 
Train loss = 15.1, Val loss = 28.962 
Train loss = 15.082, Val loss = 33.785 
Train loss = 15.217, Val loss = 31.09 
Train loss = 15.783, Val loss = 30.174 
Train loss = 14.424, Val loss = 32.772 
Train loss = 13.909, Val loss = 34.365 
Train loss = 15.102, Val loss = 31.351 
Train loss = 14.271, Val loss = 32.951 
Train loss = 13.44, Val loss = 33.494 
Train loss = 13.027, Val loss = 31.63 
Train loss = 12.712, Val loss = 33.708 
Train loss = 14.872, Val loss = 32.389 
Train loss = 13.694, Val loss = 32.056 
Train loss = 13.753, Val loss = 30.947 
Train loss = 13.186, Val loss = 32.188 
Train loss = 13.88, Val loss = 32.559 
Train loss = 13.498, Val loss = 34.313 
Train loss = 13.664, Val loss = 36.151 
Train loss = 12.68, Val loss = 32.507 
Train loss = 14.59, Val loss = 32.703 
Train loss = 13.281, Val loss = 33.695 
Train loss = 13.572, Val loss = 33.718 
Train loss = 13.075, Val loss = 33.199 
Train loss = 12.893, Val loss = 32.163 
Train loss = 12.181, Val loss = 36.968 
Train loss = 11.655, Val loss = 32.948 
Train loss = 11.955, Val loss = 31.625 
Train loss = 12.345, Val loss = 33.368 
Train loss = 11.863, Val loss = 38.991 
Train loss = 12.698, Val loss = 33.796 
Train loss = 12.652, Val loss = 32.496 
Train loss = 11.638, Val loss = 32.8 
Train loss = 12.416, Val loss = 32.872 
Train loss = 11.929, Val loss = 33.396 
Train loss = 10.36, Val loss = 34.274 
Train loss = 11.183, Val loss = 32.548 
Train loss = 12.216, Val loss = 34.359 
Train loss = 11.64, Val loss = 33.695 
